	Row.names	c1	c2	adj.P.Val	V2
5	wgEncodeUwHistoneGm12865H3k04me3StdHotspotsRep2	5.45154284201947e-07	-0.294698289231886	8.69940265470008e-06	GM12865 H3K4me3 Histone Mod ChIP-seq Hotspots 2 from ENCODE/UW
6	wgEncodeBroadHistoneGm12878H3k04me3StdPkV2	4.70843681346005e-08	-0.0162087932603307	2.4303270132765e-05	GM12878 H3K4me3 Histone Mods by ChIP-seq Peaks from ENCODE/Broad
7	wgEncodeUwHistoneGm12864H3k04me3StdHotspotsRep2	0.00320243562694477	-0.526136820016811	2.53495104013939e-05	GM12864 H3K4me3 Histone Mod ChIP-seq Hotspots 2 from ENCODE/UW
8	wgEncodeUwHistoneGm12865H3k04me3StdHotspotsRep1	2.88058664473039e-06	-0.321225001727677	2.57190099075275e-05	GM12865 H3K4me3 Histone Mod ChIP-seq Hotspots 1 from ENCODE/UW
9	wgEncodeBroadHistoneDnd41H3k09acPk	0.000152709747426762	-0.319383052702301	2.57190099075275e-05	Dnd41 H3K9ac Histone Mods by ChIP-seq Peaks from ENCODE/Broad
10	wgEncodeBroadHistoneDnd41H3k04me1Pk	9.1051935992576e-08	-0.0696539799697898	3.24791285287255e-05	Dnd41 H3K4me1 Histone Mods by ChIP-seq Peaks from ENCODE/Broad
11	wgEncodeUwHistoneGm12878H3k4me3StdHotspotsRep2	2.72025861412379e-05	-0.183073736157303	5.16527480107591e-05	GM12878 H3K4me3 Histone Mod ChIP-seq Hotspots 2 from ENCODE/UW
12	wgEncodeBroadHistoneGm12878H3k9me3StdPk	2.12850398313374e-10	-1.41270659404571e-05	5.16527480107591e-05	GM12878 H3K9me3 Histone Mods by ChIP-seq Peaks from ENCODE/Broad
13	wgEncodeBroadHistoneCd20H3k04me2Pk	6.10033249272961e-09	-0.0154348186820039	6.55214392877173e-05	CD20+ H3K4me2 Histone Mods by ChIP-seq Peaks from ENCODE/Broad
14	wgEncodeBroadHistoneGm12878H3k36me3StdPk	0.000122323632299031	-0.0010631487116515	9.7702603020935e-05	GM12878 H3K36me3 Histone Mods by ChIP-seq Peaks from ENCODE/Broad
15	wgEncodeBroadHistoneDnd41H3k04me2Pk	0.000110954035803325	-0.0893102520824696	0.000113232296361307	Dnd41 H3K4me2 Histone Mods by ChIP-seq Peaks from ENCODE/Broad
16	wgEncodeBroadHistoneGm12878H3k04me1StdPkV2	6.26292063158036e-15	-0.00868894402105751	0.000129855025390845	GM12878 H3K4me1 Histone Mods by ChIP-seq Peaks from ENCODE/Broad
17	wgEncodeUwHistoneGm06990H3k4me3StdHotspotsRep1	0.000163583491334103	-0.377591699571537	0.000155451174370078	GM06990 H3K4me3 Histone Mod ChIP-seq Hotspots 1 from ENCODE/UW
18	wgEncodeBroadHistoneDnd41H3k04me3Pk	0.000138472286654282	-0.2351091540228	0.000236412172538303	Dnd41 H3K4me3 Histone Mods by ChIP-seq Peaks from ENCODE/Broad
19	wgEncodeBroadHistoneGm12878H3k27acStdPk	2.56077828493188e-11	-0.00702276325455301	0.000249679299783789	GM12878 H3K27ac Histone Mods by ChIP-seq Peaks from ENCODE/Broad
20	wgEncodeBroadHistoneNhekH3k4me2StdPk	0.00197675538466916	-0.589882308022643	0.000296001255288962	NHEK H3K4me2 Histone Mods by ChIP-seq Peaks from ENCODE/Broad
21	wgEncodeBroadHistoneMonocd14ro1746H3k27acPk	0.000505393605905968	-0.00579536386593019	0.000439305435720567	Monocytes CD14+ H3K27ac Histone Mods by ChIP-seq Peaks from ENCODE/Broad
22	wgEncodeUwHistoneCd20ro01794H3k04me3StdHotspotsRep3	0.000149856315120121	-0.21042106940862	0.000621980145548101	CD20+ (RO 01794) H3K4me3 Histone Mod ChIP-seq Hotspots 3 from ENCODE/UW
23	wgEncodeUwHistoneGm12864H3k04me3StdHotspotsRep1	2.67062153781355e-05	-0.273006127702734	0.000626032208978253	GM12864 H3K4me3 Histone Mod ChIP-seq Hotspots 1 from ENCODE/UW
24	wgEncodeUwHistoneGm12878H3k4me3StdHotspotsRep1	2.54841273668803e-05	-0.248178598084745	0.000626032208978253	GM12878 H3K4me3 Histone Mod ChIP-seq Hotspots 1 from ENCODE/UW
25	wgEncodeUwHistoneGm06990H3k4me3StdHotspotsRep2	3.23518545934816e-06	-0.386678408029242	0.00131177853364413	GM06990 H3K4me3 Histone Mod ChIP-seq Hotspots 2 from ENCODE/UW
26	wgEncodeBroadHistoneCd20ro01794H3k27acPk	1.05659488996196e-08	-0.00100534029810866	0.00185093470228571	CD20+ RO01794 H3K27ac Histone Mods by ChIP-seq Peaks from ENCODE/Broad
27	wgEncodeBroadHistoneCd20H2azPk	5.60764886903119e-08	-0.0475486569502345	0.00290311916098269	CD20+ H2A.Z Histone Mods by ChIP-seq Peaks from ENCODE/Broad
28	wgEncodeUwHistoneCd20ro01778H3k04me3StdHotspotsRep1	0.000214283329062217	-0.220246327426402	0.00290311916098269	CD20+ (RO 01778) H3K4me3 Histone Mod ChIP-seq Hotspots 1 from ENCODE/UW
29	wgEncodeUwHistoneCd20ro01778H3k04me3StdHotspotsRep2	4.84602963826759e-05	-0.293438574530819	0.00290311916098269	CD20+ (RO 01778) H3K4me3 Histone Mod ChIP-seq Hotspots 2 from ENCODE/UW
30	wgEncodeBroadHistoneDnd41H3k36me3Pk	0.00226119507125289	-0.0553262679601079	0.00350243351272255	Dnd41 H3K36me3 Histone Mods by ChIP-seq Peaks from ENCODE/Broad
31	wgEncodeBroadHistoneDnd41H3k27acPk	9.99297570128222e-06	-0.0122680012786141	0.00404632061972905	Dnd41 H3K27ac Histone Mods by ChIP-seq Peaks from ENCODE/Broad
32	wgEncodeBroadHistoneMonocd14ro1746H3k79me2Pk	0.000305642629544237	-0.0612479774031127	0.00478652283715904	Monocytes CD14+ H3K79me2 Histone Mods by ChIP-seq Peaks from ENCODE/Broad
33	wgEncodeSydhHistonePbmcH3k4me1UcdPk	0.0016034207193953	-0.38059974439707	0.005599319312131	PBMC H3K4me1 Histone Modifications by ChIP-Seq Peaks from ENCODE/SYDH
