Disease 1	Disease 2	Corr. coefficient
Restless_legs_syndrome	Rheumatoid_arthritis	0.00314311473630369
Atopic_dermatitis	Kawasaki_disease	0.00296621769666672
Bone_mineral_density	Juvenile_idiopathic_arthritis	0.0020983146969229
Juvenile_idiopathic_arthritis	Red_blood_cell_traits	0.00152612966485322
C_reactive_protein	Progressive_supranuclear_palsy	0.00145436718594283
Behcets_disease	Fasting_glucose_related_traits	0.001217549899593
Crohns_disease	Red_blood_cell_traits	0.000775111489929259
LDL_cholesterol	Vitiligo	0.000571157375816256
Autoimmune_thyroiditis	Crohns_disease	0.000375339615857229
Creatinine_levels	Triglycerides	-3.71268724848051e-05
Asthma	Autoimmune_thyroiditis	-9.5059942395892e-05
Ankylosing_spondylitis	Autoimmune_thyroiditis	-0.000676271214615554
Triglycerides	Vitiligo	-0.000784804637078196
Fasting_glucose_related_traits	Progressive_supranuclear_palsy	-0.000904503336641937
Primary_sclerosing_cholangitis	Progressive_supranuclear_palsy	-0.00101815909147263
Creatinine_levels	Restless_legs_syndrome	-0.00108585506677628
Liver_enzyme_levels_gamma_glutamyl_transferase	Vitiligo	-0.00120494561269879
Behcets_disease	Progressive_supranuclear_palsy	-0.00127152679488063
Alzheimers_combined	Primary_sclerosing_cholangitis	-0.00127479981165379
Creatinine_levels	Progressive_supranuclear_palsy	-0.00164117256645113
Creatinine_levels	Fasting_glucose_related_traits	-0.00169908639509231
Progressive_supranuclear_palsy	Systemic_sclerosis	-0.00174732564482838
Fasting_glucose_related_traits	Primary_sclerosing_cholangitis	-0.00176479096990079
Ankylosing_spondylitis	Psoriasis	-0.00190383021254092
Primary_sclerosing_cholangitis	Triglycerides	-0.00190638401545584
Autoimmune_thyroiditis	Progressive_supranuclear_palsy	-0.00200808444060385
Progressive_supranuclear_palsy	Type_1_diabetes	-0.00206566043198109
Liver_enzyme_levels_gamma_glutamyl_transferase	Progressive_supranuclear_palsy	-0.00218319240957499
Behcets_disease	Restless_legs_syndrome	-0.00226134527474642
Rheumatoid_arthritis	Vitiligo	-0.0025258045643568
Behcets_disease	C_reactive_protein	-0.00267290859483182
Progressive_supranuclear_palsy	Triglycerides	-0.0027161524631083
Allergy	Progressive_supranuclear_palsy	-0.0030179659370333
C_reactive_protein	Restless_legs_syndrome	-0.00340617122128606
Crohns_disease	Restless_legs_syndrome	-0.00348087376914918
LDL_cholesterol	Progressive_supranuclear_palsy	-0.00374873168766499
C_reactive_protein	Crohns_disease	-0.00380921247415245
Progressive_supranuclear_palsy	Rheumatoid_arthritis	-0.00388692645356059
LDL_cholesterol	Restless_legs_syndrome	-0.00406067911535501
Behcets_disease	Primary_sclerosing_cholangitis	-0.0041125388815999
Primary_sclerosing_cholangitis	Restless_legs_syndrome	-0.00424805888906121
Behcets_disease	Creatinine_levels	-0.00431573577225208
Asthma	Restless_legs_syndrome	-0.00434326659888029
Fasting_glucose_related_traits	Vitiligo	-0.00455912295728922
Liver_enzyme_levels_gamma_glutamyl_transferase	Red_blood_cell_traits	-0.00463780062273145
Kawasaki_disease	Progressive_supranuclear_palsy	-0.00470334710553288
Asthma	Progressive_supranuclear_palsy	-0.00483796140179038
Progressive_supranuclear_palsy	Psoriasis	-0.00488142110407352
Restless_legs_syndrome	Urate_levels	-0.00491730915382504
Creatinine_levels	Primary_sclerosing_cholangitis	-0.00524456379935145
Restless_legs_syndrome	Triglycerides	-0.00525241764262319
Ankylosing_spondylitis	Restless_legs_syndrome	-0.00527194887399673
Autoimmune_thyroiditis	Restless_legs_syndrome	-0.00532453367486596
Primary_sclerosing_cholangitis	Systemic_sclerosis	-0.00546495104208589
Ankylosing_spondylitis	Progressive_supranuclear_palsy	-0.00607577851042151
Creatinine_levels	Vitiligo	-0.00608602818101645
Migraine	Vitiligo	-0.00616197753697634
Primary_sclerosing_cholangitis	Vitiligo	-0.00630776025354862
Autoimmune_thyroiditis	Systemic_sclerosis	-0.00684979092329741
Autoimmune_thyroiditis	Creatinine_levels	-0.00686463806778193
Allergy	Vitiligo	-0.00703113758936524
Progressive_supranuclear_palsy	Red_blood_cell_traits	-0.00703692575916648
Juvenile_idiopathic_arthritis	Urate_levels	-0.00711890403181314
Creatinine_levels	Liver_enzyme_levels_gamma_glutamyl_transferase	-0.00713842548429966
Atopic_dermatitis	Progressive_supranuclear_palsy	-0.00751440739259124
Chronic_kidney_disease	Fasting_glucose_related_traits	-0.0076207616366446
Ankylosing_spondylitis	Platelet_counts	-0.00780508993193507
Autoimmune_thyroiditis	Vitiligo	-0.00790617149323225
C_reactive_protein	Vitiligo	-0.00817401707172394
Asthma	Creatinine_levels	-0.00833831261843443
Creatinine_levels	LDL_cholesterol	-0.00861801393330097
Creatinine_levels	Systemic_sclerosis	-0.00869171414524317
C_reactive_protein	Renal_function_related_traits_BUN	-0.00882068276405334
Autoimmune_thyroiditis	Behcets_disease	-0.00886852014809847
Chronic_kidney_disease	Restless_legs_syndrome	-0.00891140755265951
Chronic_kidney_disease	Creatinine_levels	-0.00891384389251471
Progressive_supranuclear_palsy	Renal_function_related_traits_BUN	-0.00953990407288074
Creatinine_levels	Rheumatoid_arthritis	-0.00962475314736366
Atopic_dermatitis	Creatinine_levels	-0.00996398646384478
Red_blood_cell_traits	Restless_legs_syndrome	-0.0100969923660159
Creatinine_levels	Juvenile_idiopathic_arthritis	-0.0102153709158301
Creatinine_levels	Red_blood_cell_traits	-0.0102855823934078
Celiac_disease	Migraine	-0.0107903024181724
Asthma	C_reactive_protein	-0.0109136663377285
Alzheimers_combined	HDL_cholesterol	-0.0109280180186033
HDL_cholesterol	Progressive_supranuclear_palsy	-0.0111942682415247
Asthma	Primary_sclerosing_cholangitis	-0.0114838872104883
Crohns_disease	Migraine	-0.0120852887630463
C_reactive_protein	Creatinine_levels	-0.012093092314899
Renal_function_related_traits_BUN	Systemic_sclerosis	-0.0126083856448531
Ankylosing_spondylitis	Rheumatoid_arthritis	-0.0128232603892684
Behcets_disease	Red_blood_cell_traits	-0.0129856634885073
Liver_enzyme_levels_gamma_glutamyl_transferase	Primary_sclerosing_cholangitis	-0.0130639029666781
LDL_cholesterol	Type_1_diabetes	-0.0131756151095033
Juvenile_idiopathic_arthritis	Type_2_diabetes	-0.0139273777604103
Alopecia_areata	Autoimmune_thyroiditis	-0.0140635650604963
Multiple_sclerosis	Progressive_supranuclear_palsy	-0.014086376875639
Behcets_disease	Renal_function_related_traits_BUN	-0.0142507376149297
Multiple_sclerosis	Type_1_diabetes	-0.0146566359326243
Chronic_kidney_disease	Red_blood_cell_traits	-0.0147245517000556
Progressive_supranuclear_palsy	Systemic_lupus_erythematosus	-0.0147593673318624
Atopic_dermatitis	Vitiligo	-0.0151272164657712
Juvenile_idiopathic_arthritis	Progressive_supranuclear_palsy	-0.0151429735124111
Atopic_dermatitis	Primary_sclerosing_cholangitis	-0.0151480678468943
Primary_sclerosing_cholangitis	Urate_levels	-0.0154783483594656
Migraine	Primary_sclerosing_cholangitis	-0.0155511125922203
LDL_cholesterol	Primary_sclerosing_cholangitis	-0.0158200692385435
Crohns_disease	Progressive_supranuclear_palsy	-0.0158868357539177
Behcets_disease	Urate_levels	-0.0159336775541306
Platelet_counts	Restless_legs_syndrome	-0.0163208208978176
Renal_function_related_traits_BUN	Type_2_diabetes	-0.0164294168353081
Fasting_glucose_related_traits	Type_1_diabetes	-0.0167502481490374
Atopic_dermatitis	Restless_legs_syndrome	-0.0167774017900229
Behcets_disease	Type_2_diabetes	-0.016819691285491
Creatinine_levels	Kawasaki_disease	-0.016857573762536
Autoimmune_thyroiditis	Juvenile_idiopathic_arthritis	-0.0170586537569761
Creatinine_levels	HDL_cholesterol	-0.0171430110931396
Allergy	Crohns_disease	-0.01743134111166
Celiac_disease	Progressive_supranuclear_palsy	-0.017555296421051
Juvenile_idiopathic_arthritis	Systemic_sclerosis	-0.0176026728004217
Alopecia_areata	Creatinine_levels	-0.0179030485451221
LDL_cholesterol	Red_blood_cell_traits	-0.0180685464292765
Creatinine_levels	Platelet_counts	-0.0185066424310207
Alopecia_areata	Fasting_glucose_related_traits	-0.018534317612648
Behcets_disease	Kawasaki_disease	-0.0188638605177402
Crohns_disease	Renal_function_related_traits_BUN	-0.0190083459019661
Progressive_supranuclear_palsy	Urate_levels	-0.0190270747989416
Kawasaki_disease	Vitiligo	-0.0190956369042397
Behcets_disease	Celiac_disease	-0.0191454142332077
